Location,Region,State,Postcode
Murray Bridge,SA Metro,SA,5253
Noarlunga,SA Metro,SA,5168
Norwood,SA Metro,SA,5067
Port Adelaide,SA Metro,SA,5015
Port Wakefield,SA Metro,SA,5550
Salisbury,SA Metro,SA,5108
Torrensville,SA Metro,SA,5107
Victor Harbor,SA Metro,SA,5211
Berri,SA North,SA,5343
Kadina,SA North,SA,5554
Peterborough,SA North,SA,5422
Port Augusta,SA North,SA,5700
Port Pirie,SA North,SA,5540
Whyalla,SA North,SA,5600
Mt Gambier,SA South East,SA,5290
Barmera,SA Remote,SA,5345
Bordertown,SA Remote,SA,5268
Ceduna,SA Remote,SA,5343
Coober Pedy,SA Remote,SA,5723
Narracoorte,SA Remote,Sa,5271
Port Lincoln,SA Remote,SA,5606
Woomera,SA Remote,SA,5720
Bridgewater,TAS Metro,TAS,7011
Glenorchy,TAS Metro,TAS,7000
Hobart,TAS Metro,TAS,7000
Huonville,TAS Metro,TAS,7109
Rosny Park,TAS Metro,TAS,7018
Sorell,TAS Metro,TAS,7172
Burnie,Tas Regional,TAS,7320
Devonport,Tas Regional,TAS,7310
Launceston,Tas Regional,TAS,7250
Norwood,Tas Regional,TAS,7250
Smithton,Tas Regional,TAS,7330
Bairnsdale,VIC East,VIC,3333
East Sale,VIC East,VIC,3852
Moe,VIC East,VIC,3825
Morwell,VIC East,VIC,3840
Poowong,VIC East,VIC,3988
Sale,VIC East,VIC,3850
Warragul,VIC East,VIC,3820
Wonthaggi,VIC East,VIC,3995
Yarram,VIC East,VIC,3971
Airport West,VIC Metro,VIC,3042
Belgrave,VIC Metro,VIC,3160
Boronia,VIC Metro,VIC,3155
Box Hill,VIC Metro,VIC,3128
Broadmeadows,VIC Metro,VIC,3047
Brooklyn,VIC Metro,VIC,3012
Camberwell,VIC Metro,VIC,3124
Cheltenham,VIC Metro,VIC,3192
Coburg,VIC Metro,VIC,3058
Corio,VIC Metro,VIC,3214
Cranbourne,VIC Metro,VIC,3977
Dandenong,VIC Metro,VIC,3175
Darebin,VIC Metro,VIC,3079
Epping,VIC Metro,VIC,3076
Flemington,VIC Metro,VIC,3031
Footscray,VIC Metro,VIC,3011
Frankston,VIC Metro,VIC,3199
Geelong,VIC Metro,VIC,3220
Glen Waverley,VIC Metro,VIC,3150
Greensborough,VIC Metro,VIC,3088
Hastings,VIC Metro,VIC,3915
Heidelberg,VIC Metro,VIC,3084
Knoxfield,VIC Metro,VIC,3180
Lilydale,VIC Metro,VIC,3140
Maribyrnong,VIC Metro,VIC,3032
Melbourne,VIC Metro,VIC,3000
Melton,VIC Metro,VIC,3377
Monegeetta,VIC Metro,VIC,3433
Moonee Ponds,VIC Metro,VIC,3000
Mornington,VIC Metro,VIC,3931
Narre Warren,VIC Metro,VIC,3805
Newport,VIC Metro,VIC,3015
Oakleigh,VIC Metro,VIC,3166
Pakenham,VIC Metro,VIC,3810
Queenscliff,VIC Metro,VIC,3225
Ringwood,VIC Metro,VIC,3134
Rosebud,VIC Metro,VIC,3939
Rowville,VIC Metro,VIC,3178
South Melbourne,VIC Metro,VIC,3205
Spotswood,VIC Metro,VIC,3015
Springvale,VIC Metro,VIC,3171
Sunbury,VIC Metro,VIC,3429
Sunshine,VIC Metro,VIC,3020
Sydenham,VIC Metro,VIC,3037
Tullamarine,VIC Metro,VIC,3043
Werribee,VIC Metro,VIC,3030
Windsor,VIC Metro,VIC,3181
Benalla,VIC North,VIC,3672
Bendigo,VIC North,VIC,3550
Cobram,VIC North,VIC,3644
Echuca,VIC North,VIC,3564
Graytown,VIC North,VIC,3608
Myrtleford,VIC North,VIC,3737
Puckapunyal,VIC North,VIC,3662
Seymour,VIC North,VIC,3660
Shepparton,VIC North,VIC,3630
Swan Hill,VIC North,VIC,3585
Tongala,VIC North,VIc,3621
Wangaratta,VIC North,VIC,3677
Mildura,VIC North West,VIC,3500
Lance Creek,VIC Remote,VIC,3995
Yarrawonga,VIC Remote,VIC,3730
Ararat,VIC West,VIC,3377
Ballarat,VIC West,VIC,3350
Colac,VIC West,VIC,3250
Hamilton,VIC West,VIC,3300
Horsham,VIC West,VIC,3400
Maryborough,VIC West,VIC,3465
Portland,VIC West,VIC,3305
Stawell,VIC West,VIC,3380
Warrnambool,VIC West,VIC,3280
Armadale,WA Metro,WA,6112
Bullsbrook,WA Metro,WA,6085
Cannington,WA Metro,WA,6107
Fremantle,WA Metro,WA,6160
Gosnells,WA Metro,WA,6110
Guildford,WA Metro,WA,6055
Innaloo,WA Metro,WA,6018
Joondalup,WA Metro,WA,6027
Karrakatta,WA Metro,WA,6010
Kwinana,WA Metro,WA,6167
Midland,WA Metro,WA,6056
Mirrabooka,WA Metro,WA,6061
Morley,WA Metro,WA,6062
Perth,WA Metro,WA,6000
Perth Airport,WA Metro,WA,6105
Rockingham,WA Metro,WA,6168
Success,WA Metro,WA,6164
Swanbourne,WA Metro,WA,6010
Victoria Park,WA Metro,WA,6150
Warwick,WA Metro,WA,6024
Albany,WA South,WA,6330
Bunbury,WA South West,WA,6230
Busselton,WA South West,WA,6280
Mandurah,WA South West,WA,6210
Broome,WA Remote,WA,6725
Carnarvon,WA Remote,WA,6701
Cowaramup,WA Remote,WA,6284
Derby,WA Remote,WA,6728
Esperance,WA Remote,WA,6450
Exmouth,WA Remote,WA,6707
Fitzroy Crossing,WA Remote,WA,6765
Geraldton,WA Remote,WA,6530
Halls Creek,WA Remote,WA,6770
Harvey,WA Remote,WA,6220
Kalgoorlie,WA Remote,WA,6430
Karratha,WA Remote,WA,6714
Katanning,WA Remote,WA,6317
Kununurra,WA Remote,WA,6743
Laverton,WA Remote,WA,6440
Linley Valley,WA Remote,WA,6558
Meekatharra,WA Remote,WA,6642
Narrikup,WA Remote,WA,6326
Narrogin,WA Remote,WA,6312
Newman,WA Remote,WA,6753
Northam,WA Remote,WA,6401
Port Hedland,WA Remote,Wa,6721
South Hedland,WA Remote,WA,6722
